entry,exp,S0,ST,ks,credit,intrinsic,pnl,move,yr
2025-08-29,2025-09-05,645.05,647.24,633.0,0.41999999999999993,0.0,0.4031999999999999,0.3395085652275087,2025
2025-09-05,2025-09-12,647.24,657.41,635.0,0.3899999999999999,0.0,0.3743999999999999,1.5712873122798232,2025
2025-09-12,2025-09-19,657.41,663.7,645.0,0.38,0.0,0.3648,0.9567849591579192,2025
2025-09-19,2025-09-26,663.7,661.82,651.0,0.27,0.0,0.2592,-0.2832605092662366,2025
2025-09-26,2025-10-03,661.82,669.21,649.0,0.3400000000000001,0.0,0.3264000000000001,1.1166178114895287,2025
2025-10-03,2025-10-10,669.21,653.02,656.0,0.3400000000000001,2.980000000000018,-2.653600000000018,-2.41927048310695,2025
2025-10-10,2025-10-17,653.02,664.39,641.0,0.8399999999999999,0.0,0.8063999999999998,1.7411411595356974,2025
2025-10-17,2025-10-24,664.39,677.25,652.0,0.6699999999999999,0.0,0.6431999999999999,1.9356101085205912,2025
2025-10-24,2025-10-31,677.25,682.06,664.0,0.47,0.0,0.45119999999999993,0.7102251753414501,2025
2025-10-31,2025-11-07,682.06,670.97,669.0,0.4999999999999999,0.0,0.47999999999999987,-1.6259566607043197,2025
2025-11-07,2025-11-14,670.97,671.93,658.0,0.6699999999999999,0.0,0.6431999999999999,0.14307644156965615,2025
2025-11-14,2025-11-21,671.93,659.03,659.0,0.6699999999999999,0.0,0.6431999999999999,-1.9198428407721013,2025
2025-11-21,2025-11-28,659.03,683.39,647.0,0.7199999999999998,0.0,0.6911999999999997,3.6963415929472054,2025
2025-11-28,2025-12-05,683.39,685.69,670.0,0.39,0.0,0.3744,0.3365574562109508,2025
2025-12-05,2025-12-12,685.69,681.76,673.0,0.48,0.0,0.4608,-0.5731452988960162,2025
2025-12-12,2025-12-19,681.76,680.59,669.0,0.6499999999999999,0.0,0.6239999999999999,-0.17161464444965802,2025
2025-12-19,2025-12-26,680.59,690.31,668.0,0.23000000000000004,0.0,0.22080000000000002,1.4281726149370177,2025
2025-12-26,2026-01-02,690.31,683.17,677.0,0.16,0.0,0.1536,-1.034317915139571,2025
2026-01-02,2026-01-09,683.17,694.07,670.0,0.35000000000000003,0.0,0.336,1.5955033154266385,2026
2026-01-09,2026-01-16,694.07,691.66,681.0,0.33,0.0,0.3168,-0.3472272249196884,2026
2026-01-16,2026-01-23,691.66,689.23,679.0,0.36999999999999994,0.0,0.3551999999999999,-0.35132868750541446,2026
2026-01-23,2026-01-30,689.23,691.97,676.0,0.6000000000000001,0.0,0.5760000000000001,0.3975450865458585,2026
2026-01-30,2026-02-06,691.97,690.62,679.0,0.6699999999999999,0.0,0.6431999999999999,-0.19509516308511277,2026
2026-02-06,2026-02-13,690.62,681.75,677.0,0.6799999999999997,0.0,0.6527999999999997,-1.284353189887344,2026
2026-02-13,2026-02-20,681.75,689.43,669.0,0.73,0.0,0.7008,1.1265126512651102,2026
2026-02-20,2026-02-27,689.43,685.99,676.0,0.6399999999999999,0.0,0.6143999999999998,-0.4989629113905658,2026
2026-02-27,2026-03-06,685.99,672.38,673.0,0.7400000000000002,0.6200000000000045,0.0903999999999956,-1.9839939357716552,2026
2026-03-06,2026-03-13,672.38,662.29,660.0,1.1000000000000005,0.0,1.0560000000000005,-1.5006395193194355,2026
